tt_num,ccat_before,ccat_after,symp_before,symp_after,cc_before,cc_after,rc_before,rc_after
1-10744741192,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG_Wireless Faulty,null,PG_Replaced
1-10744743130,null,BTU,Intermittent,Intermittent,null,ONU_Missing Config,null,ONU_Config_Changed
1-10744743339,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Config_Changed
1-10744788223,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_GE port faulty,null,Port Reset
1-10744803588,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Drop Fiber Core Break,null,TM_FTB Drop Fiber replaced
1-10744845796,null,BTU,No ring Back Tone,No ring Back Tone,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10744876040,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10744877049,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Low Signal,null,Connector_Replaced
1-10744877450,null,Customer,Error_108001,Error_108001,null,Customer_Behaviour,null,Normalise_CPE Connection
1-10744880836,null,Customer,Slow Browsing,Slow Browsing,null,Customer_Internal Wiring,null,Advise Customer
1-10744911357,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10744984106,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10745075052,null,BTU,No Dial Tone,No Dial Tone,null,ONU_Wrong Config,null,ONU_Config_Changed
1-10745121523,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10745121795,null,LocalAccess,Line Disconnect,Line Disconnect,null,Cabinet/SDF Jumper Faulty,null,DP_Re-jumper
1-10745126098,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10745131687,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10745237933,null,LocalAccess,Line Disconnect,Line Disconnect,null,Cabinet/SDF Jumper Faulty,null,DP_Re-jumper
1-10745262640,null,Customer,Slow downloading rate,Slow downloading rate,null,PG_Faulty,null,Advise Customer
1-10745291644,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Others
1-10745292193,null,BTU,Intermittent,Intermittent,null,VDSL Modem Faulty,null,VDSL_Modem&PG_Replaced
1-10745401742,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW FWS,null,Connector_Replaced
1-10745404875,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Normalise_CPE Connection
1-10745433424,null,Access Network,Jerks/Pixel_HD Live TV,Jerks/Pixel_HD Live TV,null,EQMT_VLAN problem,null,VLAN changed
1-10745544052,null,LocalAccess,Line Disconnect,Line Disconnect,null,D/S Pair Faulty,null,D/S Pair Restored
1-10745547762,null,Customer,Cannot browse all website,Cannot browse all website,null,Clear While Localising,null,Advise Customer
1-10745606937,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_VLAN problem,null,VLAN changed
1-10745607136,null,TM_CPE,Wireless signal low,Wireless signal low,null,TM_CPE_PG_Wireless Coverage,null,Change Wireless Channel Mode
1-10745643632,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Drop Fiber Core Break,null,TM_FTB Drop Fiber repaired
1-10745747561,null,TM_CPE,Wireless signal low,Wireless signal low,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10745748476,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Reset
1-10745751847,null,Customer,Wireless signal low,Wireless signal low,null,Customer_Cancel TT,null,Advise Customer
1-10745752338,null,BTU,Error_102001,Error_102001,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10745786020,null,Third Party Damage,Line Disconnect,Line Disconnect,null,Drop/Int. Fiber Damage by pest,null,3rd Party_Drop/Int.FiberReplce
1-10745822824,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10745837189,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Normalise_CPE Connection
1-10745907072,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Patching,null,Patching_Fiber Normalised
1-10745912585,null,Major Outage,Line Disconnect,Line Disconnect,null,Other_Fault,null,NTT_Resolved
1-10745965875,null,TM_CPE,Wireless signal low,Wireless signal low,null,TM_CPE_PG_Wireless Coverage,null,Change Wireless Channel Mode
1-10745966157,null,LocalAccess,Line Disconnect,Line Disconnect,null,Jumper Faulty,null,Jumper Changed
1-10745966360,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Missing Config,null,ONU_Config_Changed
1-10746040742,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10746041298,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Patching,null,Patching_Connector Repatched
1-10746056982,null,BTU,Call Failure - outgoing,Call Failure - outgoing,null,ONU_Wrong Config,null,ONU_Config_Changed
1-10746074425,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10746079425,null,Customer,Call Failure - outgoing,Call Failure - outgoing,null,Customer_Cancel TT,null,Others
1-10746109221,null,Customer,Line Disconnect,Line Disconnect,null,Cust House Electricity Problem,null,Advise Customer
1-10746139530,null,Customer,Error_Code_Others,Error_Code_Others,null,HomePlug_Faulty,null,Advise Customer
1-10746139530,null,Customer,Error_Code_Others,Error_Code_Others,null,HomePlug_Faulty,null,Advise Customer
1-10746258082,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Replaced
1-10746266923,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Reset
1-10746267123,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Low Signal,null,Resolved_By_Vendor
1-10746285583,null,Customer,Error_102004,Error_102004,null,Other_Fault,null,Others
1-10746286395,null,System,No Dial Tone,No Dial Tone,null,User_Account,null,Configure Customer Account
1-10746306031,null,TM_CPE,Jerks/Pixel_All LiveTV,Jerks/Pixel_All LiveTV,null,TM_CPE_STB Hang,null,STB_Reboot
1-10746351357,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10746425308,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage by pest,null,E/S Fiber cable restored
1-10746500977,null,Major Outage,Line Disconnect,Line Disconnect,null,Other_Fault,null,Problem_Restored
1-10746501490,null,BTU,Frequent disconnection,Frequent disconnection,null,ONU_Faulty,null,ONU_Replaced
1-10746585919,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB FASC Connector Faulty,null,TM_FTB FASC connector replaced
1-10746606774,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10746650196,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10746657309,null,Access Network,Intermittent,Intermittent,null,EQMT_MSAN VDSL2 card faulty,null,MSAN PON card reset
1-10746666603,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10746699585,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_MSAN PON card faulty,null,Port Change
1-10746699895,null,Customer,Frequent disconnection,Frequent disconnection,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10746745622,null,Customer,Wireless signal low,Wireless signal low,null,Customer_Cancel TT,null,Advise Customer
1-10746747278,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10746753040,null,Customer,Slow browsing all webs,Slow browsing all webs,null,Customer_Behaviour,null,Advise Customer
1-10746768781,null,Access Network,Cannot browse all website,Cannot browse all website,null,MSAN config.problem,null,Port Reset
1-10746796323,null,Access Network,Slow browsing all webs,Slow browsing all webs,null,EQMT_Control card hang,null,MSAN PON card reset
1-10746808481,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10746841769,null,Customer,No Dial Tone,No Dial Tone,null,Clear While Localising,null,Advise Customer
1-10746850546,null,LocalAccess,Line Disconnect,Line Disconnect,null,Cabinet/SDF Jumper Faulty,null,D/S Pair Changed
1-10746851396,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_VLAN problem,null,VLAN changed
1-10746871821,null,Customer,Intermittent,Intermittent,null,Customer_Cancel TT,null,Advise Customer
1-10746895718,null,Access Network,Error_108001,Error_108001,null,EQMT_MSAN VDSL2 card faulty,null,Reset
1-10746895894,null,LocalAccess,Line Disconnect,Line Disconnect,null,Tie_Copper Problem,null,D/S Pair Changed
1-10746911164,null,Customer,Slow Browsing,Slow Browsing,null,No Wireless Coverage,null,Advise Customer
1-10746911220,null,TM_CPE,Slow downloading rate,Slow downloading rate,null,TM_CPE_PG_Wireless Coverage,null,Firmware & Software upgrading
1-10746916628,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG&Dect Phone_Replaced
1-10746917085,null,Customer,Jerks/Pixel_All LiveTV,Jerks/Pixel_All LiveTV,null,STB_Faulty,null,Advise Customer
1-10747000510,null,TM_CPE,Wireless frequent disconn.,Wireless frequent disconn.,null,TM_CPE_PG_Wireless Coverage,null,Firmware & Software upgrading
1-10747000683,null,Customer,Line down,Line down,null,Other_Fault,null,Advise TMUC
1-10747000866,null,Customer,Intermittent,Intermittent,null,Clear While Localising,null,Advise Customer
1-10747070547,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG_Wireless Coverage,null,Change Wireless Channel Mode
1-10747070690,null,Major Outage,Line Disconnect,Line Disconnect,null,Other_Fault,null,Problem_Restored
1-10747071432,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10747120706,null,Customer,Intermittent,Intermittent,null,PG_Faulty,null,Advise Customer
1-10747192177,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10747195295,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10747223877,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_STB Config Problem,null,STB_Config _Changed
1-10747224423,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG Hang,null,PG_Reset
1-10747299832,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10747300011,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10747321441,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10747403618,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10747404323,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB FASC Connector Faulty,null,Connector_Replaced
1-10747419331,null,Customer,Intermittent,Intermittent,null,Clear While Localising,null,Advise Customer
1-10747492368,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10747506842,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable replaced
1-10747507496,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise TMUC
1-10747560909,null,TM_CPE,Wireless frequent disconn.,Wireless frequent disconn.,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10747614501,null,Customer,Error_102004,Error_102004,null,STB_Faulty,null,Advise Customer
1-10747647920,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10747648022,null,LocalAccess,Slow throughput (local),Slow throughput (local),null,Jumper Faulty,null,Jumper Changed
1-10747658479,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Replaced
1-10747694244,null,TM_CPE,Router down,Router down,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10747715140,null,Customer,Slow Browsing,Slow Browsing,null,Customer_Behaviour,null,Advise Customer
1-10747715342,null,Access Network,Slow downloading rate,Slow downloading rate,null,EQMT_VLAN problem,null,VLAN changed
1-10747823814,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10747825186,null,TM_CPE,Wireless not detected,Wireless not detected,null,TM_CPE_PG Hang,null,TM_CPE_PG Config Problem
1-10747847511,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10747847811,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Cable Replaced
1-10747924151,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Hang,null,ONU_Reset
1-10747924355,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10747937066,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10747937180,null,TM_CPE,Slow downloading rate,Slow downloading rate,null,TM_CPE_PG Hang,null,TM_CPE_PG Config Problem
1-10747944377,null,Customer,Slow downloading rate,Slow downloading rate,null,PG_Faulty,null,Advise Customer
1-10747984824,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Low Signal,null,TM_FTB Drop Fiber replaced
1-10748011761,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Low Signal,null,Connector_Replaced
1-10748012243,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10748067563,null,Customer,Slow downloading rate,Slow downloading rate,null,Clear While Localising,null,Advise Customer
1-10748067696,null,Access Network,Slow downloading rate,Slow downloading rate,null,EQMT_VLAN problem,null,VLAN changed
1-10748067817,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10748129774,null,TM_CPE,Wireless signal low,Wireless signal low,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10748130032,null,Customer,Engage tone,Engage tone,null,Customer_Behaviour,null,Advise Customer
1-10748230206,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_GE port faulty,null,Port Reset
1-10748269327,null,Customer,Line down,Line down,null,Customer_IW Copper,null,Advise Customer
1-10748294470,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10748352276,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10748366657,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10748388905,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10748400648,null,LocalAccess,Line Disconnect,Line Disconnect,null,Cabinet/SDF Jumper Faulty,null,Jumper Changed
